name,rating,rating_count,price_usd,socket_/_cpu,form_factor,memory_max,memory_slots,color,chipset,memory_type,PCIE_Gen
Asus TUF GAMING X570-PLUS (WI-FI),4,207,192.99,AM4,ATX,128,4,Black / Gold,X570,DDR4,4
MSI B450 TOMAHAWK MAX,4,216,99.95,AM4,ATX,64,4,Black,B450,DDR4,3
Asus ROG STRIX B550-F GAMING (WI-FI),4,67,189.99,AM4,ATX,128,4,Black,B550,DDR4,4
MSI MAG B550 TOMAHAWK,4,74,149.99,AM4,ATX,128,4,Black / Silver,B550,DDR4,4
ASRock B450M Pro4,4,123,76.98,AM4,Micro ATX,64,4,Black / Silver,B450,DDR4,3
MSI Z490-A PRO,4,15,179.99,LGA1200,ATX,128,4,Black / Silver,Z490,DDR4,3
Asus ROG STRIX B550-A GAMING,4,20,164.99,AM4,ATX,128,4,Black / White,B550,DDR4,4
MSI B550-A PRO,4,53,144.99,AM4,ATX,128,4,Black / Silver,B550,DDR4,4
Asus ROG Strix X570-E Gaming,4,59,329.99,AM4,ATX,128,4,Black,X570,DDR4,4
Gigabyte B450M DS3H V2,3,6,64.98,AM4,Micro ATX,128,4,Black,B450,DDR4,3
MSI MPG Z490 GAMING PLUS,4,7,189.99,LGA1200,ATX,128,4,Black / Silver,Z490,DDR4,3
Asus ROG STRIX B450-F GAMING,4,157,166.16,AM4,ATX,64,4,Black,B450,DDR4,3
MSI B550M PRO-VDH WIFI,4,46,89.99,AM4,Micro ATX,128,4,Black,B550,DDR4,4
MSI MAG X570 TOMAHAWK WIFI,4,79,257.99,AM4,ATX,128,4,Black,X570,DDR4,4
Asus ROG Crosshair VIII Dark Hero,4,23,449.99,AM4,ATX,128,4,Black / Silver,X570,DDR4,4
Gigabyte B460M DS3H,4,3,94.99,LGA1200,Micro ATX,128,4,Black / Silver,B460,DDR4,3
MSI MPG Z490 GAMING EDGE WIFI,4,27,199.95,LGA1200,ATX,128,4,Black / Silver,Z490,DDR4,3
Gigabyte B450 I AORUS PRO WIFI,4,64,137.99,AM4,Mini ITX,64,2,Black / Silver,B450,DDR4,3
MSI MPG B550 GAMING EDGE WIFI,4,47,179.99,AM4,ATX,128,4,Black / Silver,B550,DDR4,4
Asus ROG STRIX Z490-E GAMING,4,40,439.99,LGA1200,ATX,128,4,Black,Z490,DDR4,3
Asus ROG STRIX B550-F GAMING,4,35,172.03,AM4,ATX,128,4,Black,B550,DDR4,4
Asus ROG STRIX Z590-E GAMING WIFI,4,3,379.64,LGA1200,ATX,128,4,Black,Z590,DDR4,4
Asus ROG Strix X570-I Gaming,4,46,253.99,AM4,Mini ITX,64,2,Black,X570,DDR4,4
Asus PRIME B560M-A,5,2,109.99,LGA1200,Micro ATX,128,4,Silver / Black,B560,DDR4,4
MSI MPG B550 GAMING PLUS,4,37,144.99,AM4,ATX,128,4,Black,B550,DDR4,4
Gigabyte X570 AORUS ELITE WIFI,4,49,195,AM4,ATX,128,4,Black,X570,DDR4,4
ASRock B450 Steel Legend,4,38,104.99,AM4,ATX,64,4,Black / Silver,B450,DDR4,3
Asus PRIME Z390-A,4,61,173,LGA1151,ATX,128,4,Silver / Black,Z390,DDR4,3
Asus PRIME Z490-A,4,16,249.99,LGA1200,ATX,128,4,Black / Silver,Z490,DDR4,3
Asus PRIME B460-PLUS,4,3,114.99,LGA1200,ATX,128,4,Silver / Black,B460,DDR4,3
Gigabyte B550M DS3H,4,14,87.99,AM4,Micro ATX,128,4,Black / Gold,B550,DDR4,4
Gigabyte B450 AORUS ELITE V2,4,5,118.99,AM4,ATX,128,4,Black,B450,DDR4,3
Gigabyte B550I AORUS PRO AX,4,46,204.99,AM4,Mini ITX,64,2,Black / Silver,B550,DDR4,4
Asus ROG STRIX B450-F GAMING II,4,10,134.99,AM4,ATX,128,4,Black,B450,DDR4,3
Asus PRIME X570-PRO,4,44,284.36,AM4,ATX,128,4,Black / White,X570,DDR4,4
Gigabyte X570 AORUS MASTER,4,39,359.99,AM4,ATX,128,4,Black / Silver,X570,DDR4,4
Asus ROG Crosshair VIII Hero (WI-FI),4,39,409.99,AM4,ATX,128,4,Black,X570,DDR4,4
MSI Z390-A PRO,4,37,129.99,LGA1151,ATX,128,4,Brown / Black,Z390,DDR4,3
Asus PRIME H410M-E,2,1,79.99,LGA1200,Micro ATX,64,2,Black,H410,DDR4,3
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),4,71,116,AM4,ATX,64,4,Black / Silver,B450,DDR4,3
MSI B450M BAZOOKA MAX WIFI,4,25,88,AM4,Micro ATX,128,4,Black / Silver,B450,DDR4,3
Asus ROG MAXIMUS XIII HERO,5,1,480.89,LGA1200,ATX,128,4,Black,Z590,DDR4,4
Asus TUF Gaming Z590-PLUS WIFI,4,2,259.99,LGA1200,ATX,128,4,Silver / Black,Z590,DDR4,4
Asus TUF GAMING B560M-PLUS WIFI,5,3,149.99,LGA1200,Micro ATX,128,4,Gold / Black,B560,DDR4,4
Asus TUF GAMING X570-PRO (WI-FI),4,19,215.24,AM4,ATX,128,4,Black / Gold,X570,DDR4,4
Asus ROG STRIX B550-I GAMING,4,28,209.99,AM4,Mini ITX,64,2,Black,B550,DDR4,4
ASRock B550M Pro4,4,17,89.99,AM4,Micro ATX,128,4,Silver / Black,B550,DDR4,4
MSI B450M PRO-VDH MAX,4,29,65.61,AM4,Micro ATX,64,4,Black / Silver,B450,DDR4,3
MSI MAG B550M MORTAR WIFI,4,32,193.05,AM4,Micro ATX,128,4,Silver / Black,B550,DDR4,4
Asus PRIME A320M-K,4,12,64.98,AM4,Micro ATX,32,2,Black / White,A320,DDR4,3
Gigabyte B365M DS3H,4,14,69.98,LGA1151,Micro ATX,64,4,Black,B365,DDR4,3
Asus PRIME B460M-A,4,1,104.99,LGA1200,Micro ATX,128,4,Silver / Black,B460,DDR4,3
Gigabyte X570 I AORUS PRO WIFI,4,45,219,AM4,Mini ITX,64,2,Black / Silver,X570,DDR4,4
Gigabyte Z490 VISION G,4,13,239.99,LGA1200,ATX,128,4,White / Black,Z490,DDR4,3
MSI MPG X570 GAMING EDGE WIFI,4,77,211.99,AM4,ATX,128,4,Black / Silver,X570,DDR4,4
Gigabyte B550 AORUS ELITE AX V2,4,6,175,AM4,ATX,128,4,Black / Silver,B550,DDR4,4
Asus ROG STRIX B550-E GAMING,4,19,259.99,AM4,ATX,128,4,Black,B550,DDR4,4
MSI B460M PRO-VDH WIFI,4,3,157.51,LGA1200,Micro ATX,128,4,Black,B460,DDR4,3
ASRock B450M-HDV R4.0,4,30,70.98,AM4,Micro ATX,32,2,Black / White,B450,DDR4,3
Asus TUF GAMING B550-PLUS (WI-FI),4,3,175.99,AM4,ATX,128,4,Black,B550,DDR4,4
MSI B450 Gaming Plus MAX,4,32,99.99,AM4,ATX,64,4,Red / Black,B450,DDR4,3
ASRock B560M Pro4,4,2,112.99,LGA1200,Micro ATX,128,4,Silver / Black,B560,DDR4,4
Asus TUF GAMING B550-PLUS,4,15,155.99,AM4,ATX,128,4,Black,B550,DDR4,4
Asus ROG Crosshair VIII Formula,4,5,587.99,AM4,ATX,128,4,Black,X570,DDR4,4
ASRock B550 Phantom Gaming 4,4,14,88,AM4,ATX,128,4,Silver / Black,B550,DDR4,4
Asus PRIME Z490-P,5,1,204.25,LGA1200,ATX,128,4,Black / Silver,Z490,DDR4,3
MSI MPG X570 GAMING PRO CARBON WIFI,4,23,259.99,AM4,ATX,128,4,Black / Silver,X570,DDR4,4
Asus TUF GAMING B550M-PLUS (WI-FI),4,14,144.99,AM4,Micro ATX,128,4,Black,B550,DDR4,4
ASRock B560M-HDV,4,2,109,LGA1200,Micro ATX,64,2,Silver / Black,B560,DDR4,4
Asus PRIME B560-PLUS,5,1,119.99,LGA1200,ATX,128,4,Silver / Black,B560,DDR4,4
Gigabyte X570 AORUS ELITE,4,50,204.99,AM4,ATX,128,4,Black / Silver,X570,DDR4,4
Gigabyte B550 VISION D-P,5,3,342.9,AM4,ATX,128,4,White / Black,B550,DDR4,4
MSI A320M-A PRO,4,2,59.99,AM4,Micro ATX,64,2,Black,A320,DDR4,3
MSI MPG X570 GAMING PLUS,4,30,167,AM4,ATX,128,4,Black / Red,X570,DDR4,4
Gigabyte Z390 AORUS PRO WIFI,4,48,207.24,LGA1151,ATX,128,4,Black / Silver,Z390,DDR4,3
MSI MEG X570 UNIFY,4,42,350.52,AM4,ATX,128,4,Black,X570,DDR4,4
ASRock B450 Pro4,4,38,86,AM4,ATX,64,4,Black / Silver,B450,DDR4,3
Gigabyte B550 AORUS PRO AC,4,18,198.01,AM4,ATX,128,4,Black / Orange,B550,DDR4,4
Gigabyte B450 AORUS M,4,47,89.99,AM4,Micro ATX,64,4,Black / Gray,B450,DDR4,3
ASRock B450M Steel Legend,4,67,86,AM4,Micro ATX,64,4,Black / White,B450,DDR4,3
Gigabyte B560M DS3H,0,0,93.99,LGA1200,Micro ATX,128,4,Black,B560,DDR4,4
ASRock A320M-HDV R4.0,4,4,63.99,AM4,Micro ATX,32,2,Black / White,A320,DDR4,3
Gigabyte X570 AORUS XTREME,4,10,706.99,AM4,EATX,128,4,Black / Silver,X570,DDR4,4
MSI B450-A PRO MAX,4,30,98.9,AM4,ATX,64,4,Brown / Black,B450,DDR4,3
MSI B450 GAMING PRO CARBON MAX WIFI,4,19,139.99,AM4,ATX,128,4,Black,B450,DDR4,3
ASRock B550M-ITX/ac,4,14,127.99,AM4,Mini ITX,64,2,Silver / Black,B550,DDR4,4
Asus ROG STRIX Z590-A GAMING WIFI,5,1,313.36,LGA1200,ATX,128,4,Silver / Black,Z590,DDR4,4
Asus ROG STRIX B560-A GAMING WIFI,5,1,179.99,LGA1200,ATX,128,4,Black / Silver,B560,DDR4,4
Asus TUF GAMING B450M-PLUS II,4,2,74.99,AM4,Micro ATX,128,4,Black,B450,DDR4,3
MSI B560M PRO-VDH WIFI,4,2,139.99,LGA1200,Micro ATX,128,4,Black,B560,DDR4,4
Asus ROG Crosshair VIII Hero,4,18,379.99,AM4,ATX,128,4,Black,X570,DDR4,4
MSI MPG B550 GAMING CARBON WIFI,4,17,215.99,AM4,ATX,128,4,Black / Silver,B550,DDR4,4
Asus ROG Strix X570-F Gaming,4,11,299.79,AM4,ATX,128,4,Black,X570,DDR4,4
MSI Z590-A PRO,0,0,189.99,LGA1200,ATX,128,4,Black,Z590,DDR4,4
MSI B450 TOMAHAWK MAX II,4,2,99.95,AM4,ATX,128,4,Black / Silver,B450,DDR4,3
Asus PRIME B550M-A (WI-FI),4,7,121,AM4,Micro ATX,128,4,Black / White,B550,DDR4,4
MSI X470 GAMING PLUS MAX,4,11,99.99,AM4,ATX,64,4,Black,X470,DDR4,3
